,title,genre,description,img_link
35,State of Alabama vs. Brittany Smith,Documentary,Tells the harrowing story of a woman trying to use Alabama's Stand Your Ground law after killing a man she says brutally attacked her.,Documentary_036.jpg
36,Good Night Oppy,Documentary,"The film follows Opportunity, the Mars Exploration Rover affectionately dubbed Oppy by her creators and scientists at NASA. Oppy was originally expected to live for only 90 days but she ultimately explored Mars for nearly 15 years.",Documentary_037.jpg
37,In Her Hands,Documentary,"At 26, Zarifa Ghafari, became one of Afghanistan's first female mayors and the youngest to ever hold the position. Filmed over two turbulent years, the film documents her personal battle for survival as her country unravels.",Documentary_038.jpg
38,The Royal Mob,Documentary,"The saga told through Queen Victoria's four favorite granddaughters the Hesse sisters, about the extended royal family that once ruled large parts of Europe, and how their loves, marriages and feuds triggered World War I.",Documentary_039.jpg
39,Cunk on Earth,Documentary,Follows Philomena Cunk as she comically tells the story of our greatest inventions and asks experts hard-hitting questions about humanity's progress.,Documentary_040.jpg
40,They Shall Not Grow Old,Documentary,A documentary about World War I with never-before-seen footage to commemorate the centennial of the end of the war.,Documentary_041.jpg
41,Spector,Documentary,"Follows the most important cultural figures of the 20th century the legendary music producer Phil Spector, when a 911 call was placed to California Police Department reporting the fatal shooting of a woman and the location was his home.",Documentary_042.jpg
42,Formula 1: Drive to Survive,Documentary,Docuseries following the FIA Formula One World Championship across multiple seasons.,Documentary_043.jpg
43,Somebody Feed Phil,Documentary,Phil travels around the world sampling food and tradition with friends and a sense of humor.,Documentary_044.jpg
44,Cosmos: Kaikki elämästä,Documentary,An exploration of our discovery of the laws of nature and coordinates in space and time.,Documentary_045.jpg
45,Stanley Tucci: Searching for Italy,Documentary,Stanley Tucci travels across Italy to discover the secrets and delights of the country's regional cuisines.,Documentary_046.jpg
46,Muinaiset avaruusoliot,Documentary,Science and mythology - and how they are the same thing.,Documentary_047.jpg
47,Roman Empire,Documentary,Chronicles some of the most famous leaders of the Roman Civilization.,Documentary_048.jpg
48,Alone,Documentary,"Ten survival ""experts"" attempt to survive alone. The winner receives $500,000.",Documentary_049.jpg
49,"Blood, Sex & Royalty",Documentary,"A modern take on the British royal drama, offering a window into the lives of history's deadliest, sexiest and most iconic monarchs.",Documentary_050.jpg
